question,1,2,3,4,answer
Open Society Institute has ___ offered to sponsor a number of participants from developing countries for attendance at the OA Workshop.,enormously,financially,exceptionally,generously,generously
"If you would like a demonstration ___ the new product, just ask the BKM staff at the booth.",along,during,of,into,of
The sales manager has been asked to lead a ___ of the Asian market's future outlook during the board meeting tonight at 7 p.m.,discussion,goal,group,happening,discussion
NDRC is the national authority that is in charge of setting guidance tariffs that are ___ implemented by the local authorities.,subsequent,subsequent to,subsequently,subsequence,subsequently
"___ the CEO was giving a speech to the newly hired employees at the training session, a secretary took a picture of him.",While,Yet,Rather,As though,While
The company ___ working on the project for the main office even before it chose the land to build on.,will begin,had begun,has begun,is beginning,had begun
"Reservations are made on a first-come, first-served basis and are ___ to room availability.",plain,public,subject,general,subject
We expect our sales to rise ___ to around $ million over the next 24 months.,sharp,sharply,sharpen,sharpness,sharply
Ruth Akorful is a baker and has been managing ___ business for several years.,hers,herself,her own,she,her own
The Leighton Group is a service-based organization and our success is ___ on the quality of the service we offer.,depend,dependable,dependent,dependence,dependent
"After months of ___ , we are pleased to announce that the company and your union have reached an agreement that resolves 9 out of 1Opending grievances.",specialty,composition,priorities,negotiations,negotiations
"Michael, the former CEO of the company, is looking forward to seeing many friends and ___ at next year's show in August.",acquainted,acquainting,acquaintance,acquaintances,acquaintances
The building built by Emaar Properties was ___ scheduled to be completed at the end of this year but the target date has been changed due to revisions in the building's design.,fluently,currently,considerably,originally,originally
"Following the visit to your production facility in Hong Kong next week, we ___ a comprehensive factory automation program to meet your company's needs.",will create,was created,having created,had been creating,will create
Either the marketing director or the sales manager will represent Centum Construction Inc. ___ the Bexco Architecture Conference.,among,up,at,of,at
Your new coffee machine comes with detailed ___ which will help you use it more effectively.,instruct,instructing,instructions,instructional,instructions
"___ she joined our company three years ago, Mrs. Mashimo has greatly expanded our customer base.",When,Before,Whereas,Since,Since
"Neobucks has more than 3, stores in the United States and 25 other countries, and its logo is ___ recognizable.",universe,universal,universally,universality,universally
"If you would like to comment on a recent experience with us, please ___ a customer satisfaction survey before leaving your room.",complete,completion,completed,completely,complete
"As space is limited, be sure to contact Bill in the personnel department a minimum of three days in advance to ___ for a workshop.",approve,express,register,record,register
"As a manager, you are also responsible for maintaining a work ___ that is comfortable and ergonomically safe.",environment,participation,reaction,incident,environment
"The tree-lined trails and ___ slopes make Whistler Mountain a dangerous place to ride, even for experienced cyclists.",heavy,forceful,steep,strict,steep
Many people prefer to shop at The Bay Department Store as it offers a lifetime warranty on ___ purchases.,any of,each,all,every,all
"In an unprecedented ___ of generosity, Patty DeDominic, the founder of DeDominic & Associates, pledged a $1-million donation that will help local charities.",act,progress,chance,number,act
Satyam Computer Services Ltd. has extended the ___ for submitting applications for the marketing manager position to April 13th.,calendar,intention,deadline,admission,deadline
"If mechanical problems occur at the time of your scheduled trip, alternatives will be discussed with you whether to reschedule the trip for a ___ time.",later,recent,further,following,later
All work will be discussed in detail before a written ___ is given to any client.,estimate,estimates,estimated,estimating,estimate
We have ___ with community groups and business partners to support local economic development projects.,recalled,collaborated,provided,employed,collaborated
All sales representatives should know ___ information about the product they are selling and be able to answer any questions.,approached,detailed,probable,loyal,detailed
Mountain Equipment Co-op. has deeply discounted their winter items to ___ room for the new spring merchandise.,making,make,makes,made,make
"While ___ a foreign country, it would be wise to take only what you will absolutely need during the day and leave anything else in the safe in your hotel room.",in,through,with,along,in
"At the annual stockholders' meeting, large printed material will be made available on request for ___ with visual impairment.",those,them,whose,which,those
A recent survey indicates ___ young women in particular are showing a strong preference for online shopping.,what,that,which,those,that
The office manager is ___ for supporting staff members and ensuring that their work is done efficiently.,responsibility,responsibilities,responsible,responsibly,responsible
"After Rachel had worked for the company for more than 10 years, ___ was finally promoted to a managerial position.",her,hers,herself,she,she
Mr. Jackson expressed a strong desire to increase ___ the company's revenue and the number of employees.,between,both,either,rather,both
Kelvin Video System's most recent model ___ vivid images on its screen.,produce,produces,product,producing,produces
"___ further information, please don't hesitate to call our customer service center at 1-.",From,Of,For,By,For
___ for the annual GRR contest should be submitted by no later than December 1st.,Enter,Entries,Being entered,Entering,Entries
Clients of Bank of America can ___ gain access to their accounts 24 hours a day throughout the year.,easily,easy,easing,ease,easily
The president of the company gave credit for the increased number of sales to the ___ work done by his staff.,excellent,interested,grateful,absolute,excellent
"Although the owner of the company wasn't able to attend the meeting, his secretary was ___ to take important notes for him.",where,when,there,why,there
The Wall Street banks collapsed ___ the uncertainty that investors had about the American economy.,even though,because of,since,besides,because of
Wiping out the company's data on retiring workers' computers may ___ any leak concerning crucial information aboutthe company.,begin,hurry,prevent,enhance,prevent
"After a long speech about the importance of working hard, Mr. Glenn ___ reminded his workers to work hard every day.",once,far,yet,still,still
EMI requires all of its employees to make their own ___ for their business trips.,arranges,arranged,arranging,arrangements,arrangements
The ___ of flood victims temporarily residing in the government-supplied camps has just exceeded a thousand.,numerical,numbers,number,numerous,number
"Before obtaining a ___ , applicants are required to complete 40 hours of driving with an adult over 21.",license,licensor,licensing,licensed,license
My application was to be reviewed ___ because I attended the company's summer internship course.,slowly,nearly,primarily,variously,primarily
All the temporary workers are supposed to keep track of the hours that ___ work.,them,their,those,they,they
Ms. Hong was forced to resign as CEO of the company ___ since investors weren't pleased with her recent performance.,quickly,quicken,quickened,quickness,quickly
All the employees at SEI Corporation are invited to the meeting ___ the new internal communications system that the company is about to bring in.,at,with,on,over,on
"Although the marketing department submitted the initial proposal, it ___ many times since then.",is editing,was editing,will be editing,has been edited,has been edited
The president has just realized that the launch of our new product must be postponed owing to ___ conditions in the market.,unwilling,unfavorable,opposing,reluctant,unfavorable
"The contract indicates that if your car ___ on the road, you can get immediate roadside service within one hour.",picks up,hangs up,turns down,breaks down,breaks down
"The general manager made it clear before the meeting that employees can ask questions ___ after the meeting, but they must remain quiet throughout the meeting.",immediacy,immediate,immediateness,immediately,immediately
Ms. Kempbell runs a company that builds ___ in both professional music agencies and people's houses.,sketches,solutions,stylists,studios,studios
"Although Jack was ___ that his coworker would be very nervous on his first day of work, he was in fact quite confident, which surprised Jack.",concern,concerns,concerned,concerning,concerned
The CEO addressed the future of the company so passionately ___ the conference that he didn't even realize that he was losing his voice.,among,throughout,while,toward,throughout
Job interviewers generally evaluate the applicants' working abilities rather than their ___ .,personal,personalities,personally,personalize,personalities
"As much as the Korean economy has ___ - tremendously in a short period of time, there are still many problems that our nation is facing.",thought,based,resulted,developed,developed
The manager's speech on hard work was not ___ because he is not considered a hard worker to the audience.,effective,total,raised,complete,effective
The new novel by Steven Kim ___ no later than the 18th of November according to a reliable source.,will be published,will publish,are publishing,publishes,will be published
"As we have had workers who quit after working for a short period of time, we need someone who can work ___ for at least a year.",exactly,jointly,hardly,consistently,consistently
"While Jason found the proposal from the other company ___ , he ultimately turned it down to keep the relationship with his original partner company.",attraction,attractive,attracted,attractively,attractive
Maverick Manufacturers has maintained the highest safety ___ of any company in its industry.,standards,guides,documents,precautions,standards
Peter had to work during my vacation because the matter was so ___ - that it couldn't wait for my return.,urgent,urgency,urgently,urgencies,urgent
It is very difficult for the head of a company to ___ understand the different characteristics of each employee.,full,fully,fuller,fullness,fully
Most workers agree that ___ the number of work hours is not going to increase the company's revenue because it actually results in lower work efficiency.,reaching,submitting,extending,offering,extending
"Although the company had a tight budget, they invested more money in their new product because they believed it was ___ in the long run.",conclusive,financial,beneficial,regulated,beneficial
"Although Jackson Inc. invests a large amount of money in advertising, its competitor, James Inc. doesn't invest ___ in it.",so far,so that,as much,as long as,as much
"Due to the contractual ___ , the company had to keep supplying the raw material for a cheap price even though there has been a rise in the overall market price.",surplus,indication,forecast,obligation,obligation
"Because the head executive of YIB Inc. checks every single condition on contracts ___ -, he never makes a mistake when signing the final copy.",meticulously,considerably,enormously,compatibly,meticulously
"We have been working on updates for the program, and you should ___ the updated information in January .",receivable,receiving,receive,receives,receive
Frank Truner who was interviewed on Friday will be assigned to either the research department ___ the marketing department.,but,or,and,neither,or
The author's comments are considered ___ own and are not necessarily reflective of the view of the magazine publisher.,she,hers,herself,her,her
All equipment in the gym is checked ___ to ensure that it is safe to use.,almost,every,regularly,recently,regularly
The Calgary Inn attaches importance to the ___ of its rooms and always offers good service at reasonable prices.,clean,cleanliness,cleanly,cleanest,cleanliness
"The management course will be ___ on Monday, October 17, from 9 a.m. to 4 p.m., while the law course will be taught on Tuesday, October 18, from 9 a.m. to 4p.m.",exhibited,donated,offered,passed,offered
"Giessen is centrally located in Germany and can ___ be reached by plane, train, and car.",easy,easily,ease,easiness,easily
"To cut down on electricity wastage, we use energy-saving light bulbs and remind employees to turn ___ their computers when they leave the office.",onto,off,out,at,off
"Our online service ___ you to view your information, make address changes, review account history, and request documents.",allowance,allows,allowing,allowable,allows
It is important ___ managers draw in the best sales people to sell the products.,should,that,upon,to,that
"Eli Clare, ___ latest book was published by Local Home Press, is nominated for the  Lambda Literary Award.",whatever,whom,what,whose,whose
Holders of old-style CIV tickets are required to ___ their tickets to a staff member before boarding the train.,place,schedule,show,introduce,show
Office ___ are ordered through the central purchasing department and are typically delivered the next business day.,supplies,supplied,supplier,supply,supplies
"If students are unable to arrive ___ the date specified on their visa documents, they will be sent home and will have to restart the application process.",in,from,between,by,by
Barbuda's economy remains ___ dependent on tourism and on visitors who fly to the islands from all over the world.,overwhelming,overwhelmingly,overwhelm,overwhelmed,overwhelmingly
We encourage frequent customer visits during all ___ of the project to facilitate communication and to ensure that the project goals are being attained successfully.,chapters,sides,phases,times,phases
"___ storage space is limited, please notify Benjamin Hatton if you no longer need your locker.",However,Despite,Because,Therefore,Because
Our employees can receive free ___ to the Joslyn Art Museum as well as discounts to the museum's gift shop.,exhibition,admission,lesson,speech,admission
"Considering her ability, dedication, and expertise, I am ___ that Ms. Yoko will be the most suitable person for the position of marketing manager.",confident,obvious,noticeable,intelligent,confident
The advisory committee ___ addressed the president's concerns about the new building project.,effectively,effect,effective,effectiveness,effectively
"Nicholas Sarkozy, president of the organization, is hosting an event on May 4, to mark the 90th ___ of the founding of the Red Cross.",inception,anniversary,origin,date,anniversary
"Temporary and part-time employees are not ___ for paid holidays; if they work on a holiday, such employees will receive their regular wages.",considerable,tangible,receivable,eligible,eligible
The Department of Parks and Recreation has ___ the maintenance of public restroom facilities to Advance Management Inc.,outsourced,employed,joined,delivered,outsourced
"Although Mr. Broadwater was the most qualified ___ all the applicants for the position, the job was given to another.",in,of,at,out,of
"In ___ with company policy, protective clothing must be worn at all times during your visit to our plant.",closing,seeing,keeping,joining,keeping
"___ growing seasonal demand, the store owner decided to hire five additional sales clerks.",Though,Due to,Because,As of,Due to
"With more than 34 years of designing some of the most ___ buildings in Calgary, the reputation of the firm is well deserved.",impressively,impressive,impress,impressiveness,impressive
"Should an ___ delay in shipping occur, we will notify you by email of the new projected shipping date and provide you with an opportunity to keep your order or cancel it.",hesitant,urgent,unexpected,apprehensive,unexpected
"In celebration of National Volunteer Appreciation Day, Betsy Johnson Regional Hospital will host a luncheon ___ its  hospital volunteers tomorrow.",honor,honors,honored,honoring,honoring
"___ two decades ago with the vision of providing cost-effective office equipment, we are today one of the world's leading manufacturers in the field.",Produced,Settled,Established,Arranged,Established
"Once the application is complete, our office staff can check your application to ensure everything is filled in ___ and all documents are included.",completes,completely,complete,completing,completely
"___ process a refund or exchange, you must notify us within two weeks of receiving your shipment.",In order to,Even as,Since,Unless,In order to
One of our service department staff ___ glad to assist you with the maintenance of your vehicle.,have been,would be,are being,is being,would be
"There are two distinct business units ___ Glocell, each focusing on different customers and their needs.",as for,between,within,because,within
Manufacturers who make products available to the public are ___ responsible for the injuries their products cause.,led,told,held,found,held
The TIPH employees are ___ by their distinctive khaki uniforms and the special emblem on their uniforms and vehicles.,identify,identifies,identity,identifiable,identifiable
Britax's new infant car seat offers a host of comfort and safety features ___ to keep your child secure while traveling in the car.,relied,designed,notified,progressed,designed
___ applying for the position of marketing director is asked to submit a resume along with two letters of reference.,Some,Anyone,Those,Whoever,Anyone
The enclosed coupons will entitle the ___ to a ten percent discount on any of our products.,witness,bearer,founder,you,bearer
"Ideal Safes & Solutions, with its seven years of experience, provides reliable and ___ safes and cabinets.",foreseeable,enforceable,durable,comfortable,durable
"After Jonathan ___ the proposal for the project more than five times with his colleague, he finally handed it over to his boss.",is revising,will revise,revises,revised,revised
"Since Carol, my boss, was not satisfied with my work, she fired me and gave ___ one month's notice.",I,me,my,mine,me
The company's ___ only took an hour and a half because they skipped the boring opening speech and some unnecessary  formalities.,group,winner,title,ceremony,ceremony
"___ the past two years, the number of car accidents has gone up by 15%.",In,Of,At,On,In
"Due to ___ traffic, John has to wake up early every morning in order to make it to work on time.",heaviness,heavy,heavily,heaviest,heavy
Max complained to his boss that it's been 10 years since the office has been ___ and it needs some changes in order to promote a better work environment.,renovation,renovate,renovating,renovated,renovated
"Although Peter hurried up and called Kevin to tell him that the meeting was canceled, Kevin was ___ waiting for the representatives from the partner company.",already,later,further,once,already
BWS Corporation's employees were advised ___ the training session because only those who completed the session would be considered for the promotion.,attend,attended,to attend,is attending,to attend
"When you invest your money, you have to choose ___ to invest in high-risk opportunities or low-risk ones.",either,neither,yet,nor,either
Peter was glad when he received a text message from the hospital reminding him of his ___ on Thursday because he almost forgot about it.,appoint,appointed,appoints,appointment,appointment
Jane could not apply for the job she desperately wanted ___ it required a high level of English.,because,until,not only,so that,because
"Jason attempted to utilize some new equipment at the factory, but he had trouble figuring out even where ___ start button was.",it,its,them,they,its
"Because the store was ___ located, it had a huge advantage in exposing its goods to the public, which had an impact on its increase in sales.",center,central,centrally,centered,centrally
"The company announced that it would merge with Tyrell Incorporated, ___ it said the opposite only two days later.",or,and,but,if,but
Justin's Packaging company ___ receives returned products because the new machine that they purchased has been creating problems for the past couple of months.,occasionally,occasional,occasion,occasions,occasionally
"While Kim was waiting for the ___ of the product that she ordered a month ago, she realized that what she ordered was actually not the one that the company needed.",release,delivery,transportation,resource,delivery
"According to the interviewer, the position requires a ___ familiarity with marketing theory.",high,broad,whole,round,high
Jason's colleagues were jealous of him because his boss ___ him with the work so much that he nearly had nothing to do but handed in the completed work.,accepted,helped,entered,produced,helped
"Although people often believe that coffee has too much caffeine, in reality, it's ___ low in caffeine compared to some energy drinks such as Redbull, Monster and Rockstar.",relatively,closely,normally,jointly,relatively
Carl thought that the conference was very ___ and actually learned a lot more than he'd learned at university.,informing,informative,informed,informally,informative
It is necessary for superiors to give a fair ___ of their workers because it has a huge impact on their future career.,evaluate,evaluates,evaluated,evaluation,evaluation
"Because Jack had ___ the company as the general manager for more than 20 years, there was not one employee who didn't know him.",involved,served,regarded,conducted,served
"___ the first three months, Tim's boss couldn't find any flaws in him, but he realized that Tim actually has a very hot temper when he got into an argument with his co-worker.",Within,Onto,Along,For,For
"Although the company aimed for a greater number of sales by ___ the price of their products, it faced a huge loss in revenue because they couldn't reach their expected number of sales.",low,lower,lowered,lowering,lowering
"A professional soccer player, Jinsu became so ___ in the game that he ended up earning himself a yellow card for his actions.",satisfied,preventable,experienced,competitive,competitive
Kate was hoping that Harry would correct his mistakes on the proposal before submitting it ___ she told him which mistakes she had found while going over it.,after,instead,during,beyond,after
The factory wasn't able to produce as many products as it was supposed to because the ___ couldn't deliver the raw materials on time.,supplies,supplier,supplied,supplying,supplier
"Because the head of the company was obsessed with the company's profits from the ___ year, he couldn't focus on its profits for the current year.",cautious,previous,supportive,deliberate,previous
"In order to ___ the purchase of its new products, the company spent a great deal on advertising.",obligate,afford,promote,participate,promote
"Noticing that the stock value was ___ decreasing, the biggest shareholder sold all of his stocks for a reasonably low price.",continuing,continually,continued,continual,continually
"With the strong visual effects of the presentation, the general manager sounded very ___ in his meeting held with the partner company.",persuade,to persuade,persuasiveness,persuasive,persuasive
"Because of the sudden death of the CEO, the company's stock value dropped ___ and didn't recover for several years.",extremely,adversely,dramatically,retroactively,dramatically
There are still ___ job opportunities in the Unites States because there are many small businesses around the country.,immense,enthusiastic,calculating,impending,immense
"___ some customers claimed that the company's customer service providers are impolite, HISL Corporation totally ignored the claims.",Despite,Whatever,Although,Whenever,Although
"As a result of working for 14 hours continually, I was able to create an ___ of products in different colors.",agreement,array,acclaim,appeal,array
"HIB Investment Bank, ___ shareholders were passionate about getting a new CEO, has been going through some chaotic changes recently.",whatever,whose,which,who,whose
The head of the department has ___ that all employees are required to hand in their vacation plans before the end of the month.,distinguished,connected,specified,employed,specified
Jim ___ made the same mistake by misspelling the names of the people who were supposed to attend the conference.,by far,once again,very much,for long,once again
The president seemed ___ upset when the interviewer asked him a very sensitive question about his family history.,so much,well,very,mostly,very
"When the acid ___ turned red, Tony realized that he should not touch it without any protection on his hands.",receptor,operator,contractor,indicator,indicator
Dr. Braun will write ___ letters only for interns who master every task expected of a junior copy editor.,recommends,recommendation,recommended,recommending,recommendation
The ___ of a new chief financial officer at Veracore Industries was announced on April 6.,appoint,appoints,appointed,appointment,appointment
"After a six-month probationary period, city employees are ___ to take vacation days.",beneficial,eligible,convenient,relevant,eligible
Ms. Larensky is applying with several different agencies to obtain the permits ___ for the outdoor art event.,required,requiring,requires,will require,required
This letter serves as ___ that we have received and processed your credit-card cancellation request.,confirm,confirmed,confirmable,confirmation,confirmation
"Many people at the company have industry experience, but only a handful of ___ can see the future importance of current trends.",we,us,our,ourselves,us
The new furniture for the conference room is scheduled to be delivered ___ on Tuesday.,hardly,comfortably,early,eagerly,early
"After working in Canada for ten years, Cha Joon has ___ to Seoul to plan the opening of an upscale restaurant.",visited,returned,occurred,related,returned
Toucan Database System is designed to perform a detailed financial analysis ___,automate,automatic,automated,automatically,automatically
The city council approved the bill to increase funding for Its road improvement ___,statement,permission,project,ability,project
The Neighborhood Involvement Program honors residents ___ volunteer their time to help Egin City.,for,who,those,as,who
Several architects ___ intriguing design plans for the Hadler Building's addition.,proposing,proposed,proposal,proposals,proposed
The updated training program is limited to site supervisors ___ the Casey Medical Care system.,within,until,during,since,within
Mr. Koizumi must complete the cost estimate before he ___ for the conference.,will leave,leaves,leaving,left,leaves
"Although the new X printer is ___ to other models, it costs only half as much.",similar,likable,reflected,considerate,similar
"To address budget deficits, Lunere County plans to limit spending and ___ tourism.",promote,declare,obtain,benefit,promote
Operating instructions are posted above the printer so you can ___ refer to them.,consecutively,standardly,namely,easily,easily
"The Vickwell Historical Museum will be closed for renovations ___ on Monday, September 10.",will begin,has begun,beginner,beginning,beginning
Finley Plant Nursery implements the ___ latest agricultural techniques.,so,more,very,much,very
"According to the compensation guidelines, employees who regularly complete their work ___ it is due may receive bonuses.",before,how,why,either,before
Thank you for your ___ in the Foxdale Apartments community enhancement survey.,participant,participation,participate,participated,participation
Solar energy has become a key ___ in the development of additional energy resources throughout the region.,factor,position,instructor,composition,factor
The LPN auto company has issued a special report to address concerns ___ the fuel efficiency of its vehicles.,excluding,during,following,regarding,regarding
This year's company retreat will focus on techniques that help people think more ___,create,creative,creativity,creatively,creatively
Employees must ___ requests for time off to Ms. Cheung for approval.,apply,submit,vacate,oppose,submit
Board members are free to discuss the issues among ___ before the formal votes are taken.,themselves,theirs,their,they,themselves
"Judging by ticket sales, Fen Jiang's first attempt at directing a film was ___ a success.",clear,clearly,clearer,clearing,clearly
"___ the Nolan Credit Union parking area is now open to the public, a section has been reserved for credit union employees.",While,When,For,But,While
Pharmacy technicians are responsible for verifying and processing prescriptions ___ they are requested by a physician.,as well as,as soon as,in regard to,in addition to,as soon as
All laboratory personnel must attend the clinical safety workshop to ensure ___ with new regulations.,activation,fulfillment,compliance,indication,compliance
The travel ___ will be processed as soon as they are received.,document,documents,documented,documenting,documents
"___ change your seating assignment, visit the reservations page on our Web site.",For,Across,With,To,To
"The president of Somchai Bank rides ___ bicycle to work every day, except when it rains.",he,him,his,himself,his
Agents who have not yet registered for next week's Insurance Excellence Forum must do so ___ .,closely,formerly,nearly,immediately,immediately
Matos Realty has developed two ___ methods of identifying undervalued properties.,different,differently,difference,differences,different
Wearing lab coats and safety goggles is a ___ for all laboratory workers.,training,fulfillment,specialization,requirement,requirement
The manufacturer ___ that the filter be cleaned at least once a month for optimal performance.,remembers,recognizes,recommends,registers,recommends
"Before selecting a Dagle steel door, measure the door opening ___ .",careful,caring,carefully,cares,carefully
Okpara employees should contact their supervisors by 10:00 A.M. ___ they expect to miss a day of work.,if,soon,only,then,if
The director has requested a ___ of the costs of short and long-term rental agreements.,comparable,comparison,compared,comparative,comparison
Ms. Yi of Lakesview Catering says that five trays of appetizers are more than ___ for fifty guests.,able,numerous,sure,enough,enough
Canada's Pan Rail Corporation will no longer ___ freight into the United States.,transport,transporting,transports,transported,transporting
"According to experts, Flash Maxe dishwashing detergent consistently delivers ___ results.",exceptionally,exceptional,exception,exceptions,exceptionally
"When picking up identification badges, employees need to show ___ of employment at Ekmekci Associates.",process,analysis,proof,basis,proof
Roxy Koenig is ___ seeking a new venue for her summer concert since the Hazelton Music Hall is being renovated.,actively,activity,active,activate,actively
Prospective tenants must provide at least two references ___ their application.,too,in addition,moreover,along with,along with
"While Ms. Molinsky has little experience in technical support, her knowledge of computer systems is ___ .",extensive,clever,considered,eager,extensive
"Please refer to the attached flowchart, which describes the ___ of responsibilities among the various leadership positions.",support,attention,division,statement,division
A good project manager strives ___ communication between departments whenever possible.,to enhance,enhances,is enhancing,enhanced,to enhance
"Same-day appointments can usually be scheduled, although not ___ with your usual doctor.",expectedly,necessarily,preventively,permanently,necessarily
Mr. Vieira is ___ with introducing several changes that have helped stacatti Stationery increase business.,credited,scored,agreed,relied,credited
"In the photograph, President Tang can be seen standing ___ Dr. Dervishi.",from,reverse,opposite,distant,opposite
The new location of the Bentler Company is easily ___ by car or bus.,access,accessibly,accessible,accessibility,accessible
Arise in energy prices will mostly affect businesses ___ energy consumption is high.,its,which,whose,more,whose
City officials have ___ Harmon Avenue businesses that street repairs will be completed within 48 hours.,assured,arranged,disclosed,committed,assured
"Our department ___ the policy meeting last Monday, but we had a scheduling conflict.",can attend,must have attended,should attend,would have attended,would have attended
"___ the effectiveness of Maisey Stanton's leadership on the town council, she will likely win next week's mayoral election.",Since,Given,Among,Upon,Given
Barner Corporation's record profits resulted from the recent ___ to identify operating efficiencies.,initiative,initiating,initiation,initiator,initiative
Customers still tend to place short notices in the classified section ___ there is no longer a mandated word limit.,as if,so that,in case,even though,even though
All shelves in the holiday merchandise section need to remain ___ stocked.,full,fully,fuller,fullest,fully
___ to the exercise room is included with your stay at the Bay land Hotel.,Access,Accessed,Accessing,Accessible,Access
Mr. Okello's promotion means that ___ will supervise a larger team.,he,his,him,himself,he
"Juniper Worldwide, Inc., will be ___ payroll service providers on January 1.",changing,attending,holding,turning,changing
The Valletta Visitor Centre offers da ly boat rides ___ the City's historic waterfront,between,along,below,apart,along
Ultrora Action's T-Pro tennis shoe is the lightest ___ on the market right now,that,any,one,either,one
"Duram Biscuit Corp, is able to ___ good deals with its wholesale suppliers.",negotiating,negotiates,negotiated,negotiate,negotiate
"At Razani Marketing, there are ___ opportunities for professional advancement.",plenty,each,very,many,many
